AFGHANISTAN;207;176;-14.98
AFRIQUEDUSUD;7921;8109;2.37
ALBANIE;197;185;-6.09
ALGERIE;40717;41780;2.61
ALLEMAGNE;118331;116388;-1.64
ANDORRE;3114;2888;-7.26
ANGOLA;1766;1617;-8.44
ARABIESAOUDITE;6143;6173;0.49
ARGENTINE;12327;12496;1.37
ARMENIE;548;551;0.55
AUSTRALIE;25267;25348;0.32
AUTRICHE;9215;9666;4.89
AZERBAIDJAN;199;191;-4.02
BAHREIN;1088;1110;2.02
BANGLADESH;237;229;-3.38
BELGIQUE;124978;127558;2.06
BELIZE;0;0;0.00
BENIN;3797;3687;-2.90
BIELORUSSIE;191;192;0.52
BIRMANIE;809;813;0.49
BOLIVIE;1539;1517;-1.43
BOSNIE-HERZEGOVINE;393;388;-1.27
BOTSWANA;117;96;-17.95
BRESIL;20944;19942;-4.78
BRUNEI;134;124;-7.46
BULGARIE;1412;1463;3.61
BURKINA;3317;3423;3.20
BURUNDI;290;308;6.21
CAMBODGE;4880;4994;2.34
CAMEROUN;6404;6331;-1.14
CANADA;101541;103967;2.39
CAP-VERT;339;278;-17.99
CENTRAFRICAINE(REP.);762;802;5.25
CHILI;11652;12252;5.15
CHINE;31252;30824;-1.37
CHYPRE;1409;1418;0.64
COLOMBIE;5647;5799;2.69
COMORES;1735;1686;-2.82
CONGO;6921;6630;-4.20
CONGO(REP.DEMOCRAT.);2693;2695;0.07
COREE;3077;3067;-0.32
COSTARICA;2668;2704;1.35
COTED'IVOIRE;17034;17776;4.36
CROATIE;1021;1040;1.86
CUBA;922;1042;13.02
DANEMARK;5695;5773;1.37
DJIBOUTI;4305;4012;-6.81
DOMINICAINE(REP.);4023;3850;-4.30
EGYPTE;6030;6034;0.07
EMIRATSARABESUNIS;22502;22822;1.42
